Case,Location,Date,Year,Summary,Fatalities,Injured,Total victims,Venue,Prior signs of possible mental illness,Mental Health,Weapons obtained legally,Where obtained,Type of weapons,Weapon details,Race,Gender,Sources,Mental Health Sources,latitude,longitude,Type
Westside Middle School killings,"Jonesboro, Arkansas",3/24/1998,1998,"Mitchell Scott Johnson, 13, and Andrew Douglas Golden, 11, two juveniles, ambushed students and teachers as they left the school; they were apprehended by police at the scene.",5,10,15,School,No,Boys displayed unruly and aggressive behavior. They picked on kids and made threats about killing people. ,No,Stolen from grandfather and father,"Two semiautomatic handguns, two rifles, three revolvers, two derringers","FIE 380, .380-caliber Star semiautomatic handguns; .44 Magnum Ruger, .30-06 Remington 742, .30-caliber Universal M-1 carbine replica rifles; .38-caliber Charter Arms, .357-caliber Ruger Security Six, .38-caliber Smith & Wesson revolvers; .22-caliber Double Deuce Buddie two-shot, .38-caliber Davis Industries two-shot derringers",white,Male,http://www.vpc.org/studies/wgun980324.htm,http://www.nytimes.com/1998/03/29/us/from-wild-talk-and-friendship-to-five-deaths-in-a-schoolyard.html?sec=&spon=&pagewanted=all,35.8209895,-90.6682606,Mass
Connecticut Lottery shooting,"Newington, Connecticut",3/6/1998,1998,"Lottery worker Matthew Beck, 35, gunned down four bosses over a salary dispute before committing suicide.",5,1,6,Workplace,Yes,He had been hospitalized for psychiatric reasons and had a history of depression,Yes,Unknown,One semiautomatic handgun,9mm semiautomatic handgun,white,Male,http://www.nytimes.com/1998/03/07/nyregion/rampage-connecticut-overview-connecticut-lottery-worker-kills-4-bosses-then.html?pagewanted=all&src=pm; http://www.nytimes.com/2000/04/11/us/hole-in-gun-control-law-lets-mentally-ill-through.html?pagewanted=all&src=pm,http://www.nytimes.com/2000/04/11/us/hole-in-gun-control-law-lets-mentally-ill-through.html?pagewanted=all&src=pm,41.6856325,-72.72983827,Mass
Caltrans maintenance yard shooting,"Orange, California",12/18/1997,1997,"Former Caltrans employee Arturo Reyes Torres, 41, opened fire at a maintenance yard after he was fired for allegedly selling government materials he'd stolen from work. He was shot dead by police.",5,2,7,Workplace,No,He was disgruntled after being fired. ,Yes,"B&B Gun Sales in Orange County, Calif.",One rifle (assault),7.62mm AK-47 Chinese variant semiautomatic rifle,Latino,Male,"http://articles.latimes.com/1997/dec/20/news/mn-431; http://articles.latimes.com/1997/dec/22/local/me-1156; http://www.vpc.org/studies/wgun971218.htm; http://news.google.com/newspapers?id=DitZAAAAIBAJ&sjid=LEcNAAAAIBAJ&pg=6705,2243998&dq=arturo+reyes+torres+caltrans&hl=en",http://articles.latimes.com/1997/dec/20/news/mn-431,33.7877944,-117.8531119,Mass
R.E. Phelon Company shooting,"Aiken, South Carolina",9/15/1997,1997,"Ex-con Hastings Arthur Wise, 43, opened fire at the R.E. Phelon Company in retaliation for being fired after an argument with a supervisor. He attempted suicide by ingesting insecticide, failed, and was executed by the state of South Carolina eight years later.",4,3,7,Workplace,No,"An ex-con, he had been freed from prison, although he displayed violent tendencies.",No,Unknown,One semiautomatic handgun,9mm semiautomatic handgun,black,Male,http://www.vpc.org/studies/wgun970915.htm; http://chronicle.augusta.com/stories/1997/09/18/met_214833.shtml,http://chronicle.augusta.com/stories/1997/09/18/met_214833.shtml,33.5598586,-81.721952,Mass
Fort Lauderdale revenge shooting,"Fort Lauderdale, Florida",2/9/1996,1996,"Fired city park employee Clifton McCree, 41, opened fire on former coworkers he called ""racist devils"" inside their municipal trailer in an act of revenge after failing a drug test. He then committed suicide.",6,1,7,Workplace,Yes,"Co-workers complained about his threats and verbal abuse. His supervisors asked him to get a psychiatric evaluation. He lost his job, which relatives said drove his depression.",Yes,Unknown,"One semiautomatic handgun, one revolver",9mm Glock semiautomatic handgun; .32-caliber revolver,black,Male,http://www.nytimes.com/1996/02/11/us/florida-killer-said-victims-were-racists-police-say.html; http://articles.sun-sentinel.com/1996-02-10/news/9602090635_1_million-firearms-multiple-guns-reloading,http://articles.sun-sentinel.com/1996-02-11/news/9602110026_1_beach-crew-maintenance-fort-lauderdale,26.1223084,-80.1433786,Mass
Walter Rossler Company massacre,"Corpus Christi, Texas",4/3/1995,1995,"Disgruntled former metallurgist James Daniel Simpson, 28, opened fire throughout the Walter Rossler Company where he had worked before exiting the building and committing suicide.",6,0,6,Workplace,No,He was likely angry because he was given an assignment at work he didn't like. But acquaintances didn't know why he'd come back and kill.,Yes,Unknown,"One semiautomatic handgun, one revolver",9mm Ruger semiautomatic handgun; .32-caliber revolver,Unknown,Male,http://web.caller.com/2000/april/03/today/local_ne/4127.html,http://web.caller.com/2000/april/03/today/local_ne/4127.html,27.823713,-97.41739794,Mass
Air Force base shooting,"Fairchild Air Force Base, Washington",6/20/1994,1994,"Former airman Dean Allen Mellberg, 20, opened fire inside a hospital at the Fairchild Air Force Base before he was shot dead by a military police officer outside.",5,23,28,Military,Yes,He was repeatedly diagnosed with emotional problems during his two years of service.,Yes,"Gun dealer in Spokane, Wash.",One rifle (assault),MAK-90 semiautomatic rifle,white,Male,http://articles.latimes.com/1994-06-22/news/mn-7137_1_air-force; http://www.nytimes.com/1994/06/22/us/an-airman-s-revenge-5-minutes-of-terror.html,http://articles.latimes.com/1994-06-22/news/mn-7137_1_air-force,47.61864486,-117.6483587,Mass
Chuck E. Cheese's killings,"Aurora, Colorado",12/14/1993,1993,"Nathan Dunlap, 19, a recently fired Chuck E. Cheese's employee, went on a rampage through his former workplace and was arrested the following day. He now awaits execution on death row.",4,1,5,Workplace,Unclear,"While he was in prison awaiting trial, he started acting bizarre by stripping naked and playing with his feces, apparently to avoid the death penalty. A state doctor testified that Dunlap was was faking his mental illness. ",Unknown,Unknown,One semiautomatic handgun,.25-caliber semiautomatic handgun,black,Male,"http://www.denverpost.com/news/ci_20218952/aurora-chuck-e-cheese-killers-appeal-cites-mental; http://abcnews.go.com/US/auroras-massacre-victims-20-year-wait-justice/story?id=16847013; http://www.5280.com/magazine/2008/12/politics-killing?page=0,6 ","http://www.5280.com/magazine/2008/12/politics-killing?page=0,6",39.754713,-104.835869,Mass
Long Island Rail Road massacre,"Garden City, New York",12/7/1993,1993,"Colin Ferguson, 35, opened fire on an eastbound Long Island Rail Road train as it approached a Garden City station. He was later arrested.",6,19,25,Other,Yes,"Psychiatrists and others said he suffered from racial paranoia and was obsessed with nonexistent conspiracies. His landlord said he had ""delusions of grandeur.""",Yes,"Turner's Outdoorsman in Signal Hill, Calif. ",One semiautomatic handgun,9mm Ruger P89 semiautomatic handgun,black,Male,http://www.nytimes.com/1993/12/12/nyregion/tormented-life-special-report-long-slide-privilege-ends-slaughter-train.html; http://www.vpc.org/studies/wgun931207.htm,http://www.nytimes.com/1993/12/12/nyregion/tormented-life-special-report-long-slide-privilege-ends-slaughter-train.html,40.7267682,-73.6342955,Mass
Luigi's shooting,"Fayetteville, North Carolina",8/6/1993,1993,"Army Sgt. Kenneth Junior French, 22, opened fire inside Luigi's Italian restaurant while ranting about gays in the military before he was shot and arrested by police.",4,8,12,Other,No,"He had an abusive father, who committed suicide.",Yes,Unknown,"One rifle, two shotguns",.22-caliber rifle; two 12-gauge shotguns,white,Male,"http://articles.latimes.com/1993-08-08/news/mn-21847_1_kills-army-french; http://news.google.com/newspapers?id=0AhPAAAAIBAJ&sjid=jhUEAAAAIBAJ&pg=6505,2482529&dq=kenneth+junior+french&hl=en","http://news.google.com/newspapers?id=0AhPAAAAIBAJ&sjid=jhUEAAAAIBAJ&pg=6505,2482529&dq=kenneth+junior+french&hl=en",35.0529931,-78.8787058,Mass
101 California Street shootings,"San Francisco, California",7/1/1993,1993,"Failed businessman Gian Luigi Ferri, 55, opened fire throughout an office building before he committed suicide inside as police pursued him.",9,6,15,Other,No,"He was down on his luck because of failed business decisions. One acquaintance said, ""He was the least likely guy you can imagine doing something like that.""  His ex-wife said he ""hated violence.""",No,"Super Pawn and Pacific Tactical Weapons, both in Las Vegas, Nev.",Three semiautomatic handguns (two assault),"Two Intratec DC-9, .45-caliber Colt semiautomatic handguns",white,Male,http://articles.latimes.com/1993-07-03/news/mn-10731_1_mortgage-business/2; http://www.motherjones.com/print/16316; http://www.vpc.org/studies/wgun930701.htm,http://articles.latimes.com/1993-07-03/news/mn-10731_1_mortgage-business,37.7789601,-122.419199,Mass
Watkins Glen killings,"Watkins Glen, New York",10/15/1992,1992,"John T. Miller, 50, killed four child-support workers in a county office building before turning the gun on himself.  Miller was upset about a court order garnishing his paycheck to cover overdue child-support payments.",5,0,5,Other,Yes,"The day before the shooting, he told child-support collection office workers that he was considering suicide. He had been convicted of felonious assault for pointing a revolver at police officers responding to a domestic violence report at this girlfriend's apartment. ",Yes,"Mumford Sports in Litchfield, Ohio",One semiautomatic handgun,9mm Llama semiautomatic handgun,white,Male,http://www.nytimes.com/1992/10/17/nyregion/shooting-followed-tougher-efforts-to-collect-child-support.html?pagewanted=2&src=pm; http://www.nytimes.com/1992/10/16/nyregion/gunman-kills-4-who-collected-child-payments.html?pagewanted=all&src=pm; http://www.nytimes.com/1992/10/24/nyregion/watkins-glen-killings-called-planned.html,http://www.nytimes.com/1992/10/24/nyregion/watkins-glen-killings-called-planned.html,42.3810555,-76.8705777,Mass
Lindhurst High School shooting,"Olivehurst, California",5/1/1992,1992,"Former Lindhurst High School student Eric Houston, 20, angry about various personal failings, killed three students and a teacher at the school before surrendering to police after an eight-hour standoff. He was later sentenced to death.",4,10,14,School,No,"He suffered violent physical abuse as a child. He claimed a teacher had sexually abused him, but the truth of that allegation was contested. ",Yes,Local gun retailer,"One rifle, one shotgun",.22-caliber sawed-off rifle; 12-gauge pump-action shotgun,white,Male,http://www.schoolshooters.info/PL/Subject-Houston_files/Nine%20Brief%20Sketches.pdf; http://www.appeal-democrat.com/news/school-47104-shooting-eckardt.html; http://nl.newsbank.com/nl-search/we/Archives?p_product=SB&p_theme=sb&p_action=search&p_maxdocs=200&p_topdoc=1&p_text_direct-0=0EB0D9D91FC593A0&p_field_direct-0=document_id&p_perpage=10&p_sort=YMD_date:D&s_trackval=GooglePM; http://www.sfgate.com/crime/article/Death-verdict-OKd-for-school-slaughter-3758444.php,http://www.schoolshooters.info/PL/Subject-Houston_files/Nine%20Brief%20Sketches.pdf,39.07868761,-121.5475762,Mass
Royal Oak postal shootings,"Royal Oak, Michigan",11/14/1991,1991,"Laid-off postal worker Thomas McIlvane, 31, opened fire at his former workplace before committing suicide.",5,5,10,Workplace,Yes,Police revoked his CCW permit after determining he was mentally unstable.,Yes,Local gun store,One rifle,.22-caliber Ruger sawed-off semiautomatic rifle,white,Male,http://www.nytimes.com/1991/11/15/us/ex-postal-worker-kills-3-and-wounds-6-in-michigan.html; http://www.mlive.com/news/detroit/index.ssf/2011/11/monday_ceremony_marks_20_years.html,http://www.nytimes.com/1991/11/15/us/ex-postal-worker-kills-3-and-wounds-6-in-michigan.html,42.4894801,-83.1446485,Mass
University of Iowa shooting,"Iowa City, Iowa",11/1/1991,1991,"Former graduate student Gang Lu, 28, went on a rampage on campus and then committed suicide at the scene.",6,1,7,School,Unclear,He was described as darkly disturbed and isolated.,Yes,"Fin & Feather in Iowa City, Iowa",One revolver,.38-caliber Taurus revolver,Asian,Male,http://www.nytimes.com/1991/11/03/us/gunman-in-iowa-wrote-of-plans-in-five-letters.html?pagewanted=all&src=pm; http://thegazette.com/2011/11/01/gang-lu-shootings-at-ui-remembered-20-years-later/; http://www.nytimes.com/1991/11/04/us/iowa-gunman-was-torn-by-academic-challenge.html?pagewanted=2&src=pm,http://www.nytimes.com/1991/11/03/us/gunman-in-iowa-wrote-of-plans-in-five-letters.html?pagewanted=all&src=pm,41.6606893,-91.5302214,Mass
Luby's massacre,"Killeen, Texas",10/16/1991,1991,"George Hennard, 35, drove his pickup truck into a Luby's cafeteria and opened fire before committing suicide.",24,20,44,Other,No,"Acquaintances described him as troubled, unstable, combative, and misogynistic. He made convenience store employees ""nervous.""",Yes,"Mike's Gun Shop in Henderson, Nev.",Two semiautomatic handguns,"9mm Glock 17, 9mm Ruger P89 semiautomatic handguns",white,Male,http://www.nytimes.com/1991/10/18/us/portrait-of-texas-killer-impatient-and-troubled.html?pagewanted=all&src=pm; http://www.kwtx.com/home/headlines/7048182.html; http://www.nytimes.com/1991/10/20/weekinreview/dead-23-texans-and-1-anti-gun-measure.html; http://www.vpc.org/studies/wgun911016.htm,http://www.nytimes.com/1991/10/20/weekinreview/dead-23-texans-and-1-anti-gun-measure.html; http://www.nytimes.com/1991/10/18/us/portrait-of-texas-killer-impatient-and-troubled.html?pagewanted=all&src=pm,31.1171194,-97.7277959,Mass
GMAC massacre,"Jacksonville, Florida",6/18/1990,1990,"James Edward Pough, 42, opened fire at a General Motors Acceptance Corporation office before committing suicide. (The day prior, Pough killed a pimp and prostitute and injured two others. Those victims are not included in the mass murder count.)",10,4,14,Other,No,"Police speculated he had a ""grudge"" against the people he killed. ",Yes,Unknown,"One rifle, one revolver",.30-caliber Universal M1 carbine rifle; .38-caliber revolver,black,Male,http://www.nytimes.com/1990/06/19/us/florida-gunman-kills-8-and-wounds-6-in-office.html; http://www.nytimes.com/1990/06/20/us/hazy-records-helped-florida-gunman-buy-arms.html; http://www.vpc.org/studies/wgun900618.htm; http://www.nytimes.com/1990/06/19/us/florida-gunman-kills-8-and-wounds-6-in-office.html?pagewanted=all&src=pm,http://www.nytimes.com/1990/06/20/us/hazy-records-helped-florida-gunman-buy-arms.html,30.3321838,-81.655651,Mass
Standard Gravure shooting,"Louisville, Kentucky",9/14/1989,1989,"Joseph T. Wesbecker, 47, gunned down eight people at his former workplace before committing suicide.",9,12,21,Workplace,Yes,"Prior to the shooting, he had voluntarily checked into hospitals for mental problems at least twice and attempted suicide three times. ",Yes,"AK-47 purchased from Tilford's Gun Sales in Louisville, Ky. ","Three semiautomatic handguns (two assault), one rifle (assault), one revolver","Two Intratec MAC-11, 9mm SIG Sauer semiautomatic handguns; AK-47 Chinese variant semiautomatic rifle; .38-caliber revolver",white,Male,http://nl.newsbank.com/nl-search/we/Archives?p_product=LH&s_site=kentucky&p_multi=LH&p_theme=realcities&p_action=search&p_maxdocs=200&p_topdoc=1&p_text_direct-0=0EB73C025033DC82&p_field_direct-0=document_id&p_perpage=10&p_sort=YMD_date:D&s_trackval=GooglePM; http://www.nytimes.com/1989/09/16/us/disturbed-past-of-killer-of-7-is-unraveled.html?pagewanted=all&src=pm,http://www.nytimes.com/1989/09/16/us/disturbed-past-of-killer-of-7-is-unraveled.html,38.2542376,-85.759407,Mass
Stockton schoolyard shooting,"Stockton, California",1/17/1989,1989,"Patrick Purdy, 26, an alcoholic with a police record, launched an assault at Cleveland Elementary School, where many young Southeast Asian immigrants were enrolled. Purdy killed himself with a shot to the head.",6,29,35,School,Yes,"He told a mental health professional he was ""struggling to resist actions on thoughts which are destructive in nature."" He also suffered from alcoholism. ",Yes,"Sandy Trading Post in Sandy, Ore.; Hunter Loan and Jewelry Co. in Stockton, Calif.","One semiautomatic handgun, one rifle (assault)",9mm Taurus semiautomatic handgun; AK-47 Chinese variant semiautomatic rifle,white,Male,"http://www.recordnet.com/apps/pbcs.dll/article?AID=/20090118/A_NEWS/901170304; http://news.google.com/newspapers?id=N8IzAAAAIBAJ&sjid=kDIHAAAAIBAJ&pg=6930,6475926&dq=patrick+purdy&hl=en; http://www.time.com/time/magazine/article/0,9171,151105,00.html",http://www.recordnet.com/apps/pbcs.dll/article?AID=/20090118/A_NEWS/901170304,37.9577016,-121.2907796,Mass
ESL shooting,"Sunnyvale, California",2/16/1988,1988,"Former ESL Incorporated employee Richard Farley, 39, gunned down seven people at his former workplace. He was later arrested and now sits on death row at San Quentin.",7,4,11,Workplace,Yes,"He stalked and harassed his colleague Laura Black for four years until she was granted a temporary restraining order aginst him. Before he was fired for his bizarre behavior, he was ordered to undergo psychological counseling. ",Yes,Various sporting goods and gun stores in Northern California,"Two semiautomatic handguns, one rifle, two revolvers, two shotguns",".380 ACP Browning, 9mm Smith & Wesson semiautomatic handguns; Ruger M-77 .22-250 bolt-action rifle with scope; Mossberg 12-gauge pump-action, 12-gauge Benelli semiautomatic shotguns; .357 Magnum Smith & Wesson, .22 Sentinel WMR revolvers",white,Male,"http://articles.latimes.com/1988-02-18/news/mn-43514_1_mr-farley-richard-farley-sunnyvale-public-safety-department; http://news.google.com/newspapers?id=uqxAAAAAIBAJ&sjid=sDIHAAAAIBAJ&pg=2425,5898911&dq=richard+farley+shooting&hl=en; http://news.google.com/newspapers?id=FmYzAAAAIBAJ&sjid=WzIHAAAAIBAJ&pg=7028,576811&dq=richard+farley+shooting&hl=en",http://books.google.com/books?id=JiQUkwBnzgYC&pg=PA44&lpg=PA44&dq=richard+farley+ESL+psychological&source=bl&ots=PqxDlDtznK&sig=K-p8vEN7M2AEdRC0KpxVHjXZN7M&hl=en#v=onepage&q=richard%20farley%20ESL%20psychological&f=false; http://caselaw.findlaw.com/ca-supreme-court/1295931.html,37.3688301,-122.0363496,Mass
Shopping centers spree killings,"Palm Bay, Florida",4/23/1987,1987,"Retired librarian William Cruse, 59, was paranoid neighbors gossiped that he was gay. He drove to a Publix supermarket, killing two Florida Tech students en route before opening fire outside and killing a woman. He then drove to a Winn-Dixie supermarket and killed three more, including two police officers. Cruse was arrested after taking a hostage and died on death row in 2009.",6,14,20,Other,Yes,"He suffered from paranoid delusions. A judge found that he suffered from ""extreme mental illness.""",Yes,"Gun store in Norwood, Ohio; The Oaks Trading Post in Melbourne, Fla.","One rifle, one revolver, one shotgun","Sturm, Ruger Mini-14 semiautomatic rifle; 20-gauge Winchester pump-action shotgun; .357 Ruger Blackhawk revolver",white,Male,http://articles.latimes.com/1987-04-25/news/mn-990_1_palm-bay-police,(Supreme Court of Florida Document) http://www.murderpedia.org/male.C/images/cruse_william_b/op-74656.pdf,28.0331886,-80.6429695,Spree
United States Postal Service shooting,"Edmond, Oklahoma",8/20/1986,1986,"Postal worker Patrick Sherrill, 44, opened fire at a post office before committing suicide.",15,6,21,Workplace,Unclear ,He was worried he had inherited mental problems and rebuffed a pastor's suggestion he seek psychiatric counseling. His family members denied he had a history of mental illness.,Yes,"Issued by Oklahoma National Guard, where Sherrill served, for target competition  ",Three semiautomatic handguns,".22-caliber, two .45-caliber Colt Model 1911-A1 semiautomatic handguns",white,Male,"http://news.google.com/newspapers?id=dm8aAAAAIBAJ&sjid=pyoEAAAAIBAJ&pg=2297,4870051&dq=patrick+sherrill&hl=en",http://newsok.com/sherrill-feared-mental-illness-rejected/article/2177416,35.6672015,-97.42937037,Mass
San Ysidro McDonald's massacre,"San Ysidro, California",7/18/1984,1984,"James Oliver Huberty, 41, opened fire in a McDonald's restaurant before he was shot dead by a police officer.",22,19,41,Other,Yes,"The day before the shooting, he tried to make an appointment at a mental health clinic. ",Yes,Unknown,"One semiautomatic handgun, one rifle (assault), one shotgun",9mm Browning P35 Hi-Power semiautomatic handgun; 9mm Israeli Military Industries Uzi Model A carbine semiautomatic rifle; 12-gauge Winchester 1200 pump-action shotgun,white,Male,http://www.utsandiego.com/san-ysidro-massacre/; http://www.vpc.org/studies/wgun840718.htm,http://www.nctimes.com/news/local/article_2ba4343e-7009-54ce-98df-79a23ff8d0d7.html,32.5520013,-117.0430813,Mass
Dallas nightclub shooting,"Dallas, Texas",6/29/1984,1984,"Abdelkrim Belachheb, 39, opened fire at an upscale nightclub after a woman rejected his advances. He was later arrested.",6,1,7,Other,Yes,"During his last meal with his wife, he confessed he was depressed and had visited psychiatric hospitals in Belgium.",No,"Hines Boulevard Pawn Shop in Dallas, Texas",One semiautomatic handgun,9mm Smith & Wesson 459 semiautomatic handgun,white,Male,"http://books.google.com/books?id=Hr3OBwP-lbUC&pg=PA38&lpg=PA38&dq=Abdelkrim+Belachheb+mental&source=bl&ots=D56pgdNnnl&sig=grAT08P9HLfPoHVgwlXt8RfPHz0&hl=en&; http://www.nytimes.com/1984/06/30/us/6-die-in-dallas-club-as-enraged-man-fires-wildly.html; http://news.google.com/newspapers?id=gKQyAAAAIBAJ&sjid=WO8FAAAAIBAJ&pg=1236,2915759&dq=abdelkrim+belachheb&hl=en; http://books.google.com/books?id=Hr3OBwP-lbUC&pg=PA67&lpg=PA67&dq=%22hine+pawnshop%22+gun&source=bl&ots=D55vgfTsnk&sig=zDxr5nohKnNQWvLrUFmZGYQ5ar4&hl=en&sa=X&ei=9WZSUN2FN-XZigKN-oGoCA&ved=0CDcQ6AEwAA#v=onepage&q=%22hine%20pawnshop%22%20gun&f=false",http://books.google.com/books?id=Hr3OBwP-lbUC&pg=PA67&lpg=PA67&dq=%22hine+pawnshop%22+gun&source=bl&ots=D55vgfTsnk&sig=zDxr5nohKnNQWvLrUFmZGYQ5ar4&hl=en&sa=X&ei=9WZSUN2FN-XZigKN-oGoCA&ved=0CDcQ6AEwAA#v=onepage&q=%22hine%20pawnshop%22%20gun&f=false,32.7801052,-96.8000082,Mass
Welding shop shooting,"Miami, Florida",8/20/1982,1982,"Junior high school teacher Carl Robert Brown, 51, opened fire inside a welding shop and was later shot dead by a witness as he fled the scene.",8,3,11,Other,Yes,"His second wife left him because he refused to seek psychological help. He had become increasingly isolated. One former student said he was ""off his rocker.""",Yes,"Garcia Gun Center in Hialeah, Fla.",One shotgun,Mossberg 500 Persuader pump-action shotgun with pistol grip,white,Male,http://www.nytimes.com/1982/08/21/us/gunman-in-miami-kills-8-in-rampage.html; http://www.nytimes.com/1982/08/24/us/no-charges-planned-against-miami-man-who-shot-gunman.html; http://www.nytimes.com/1982/10/14/us/florida-city-rescinds-law-on-buying-guns.html,"http://news.google.com/newspapers?id=uuYLAAAAIBAJ&sjid=C1kDAAAAIBAJ&pg=4879,1435085&dq=carl+robert+brown",25.796491,-80.226683,Mass